season,home_team,away_team,home_score,away_score,location
2018,Northwestern,St Peters,75,66,1
2018,Tulane,SE Louisiana,89,66,1
2018,Tulsa,Oral Roberts,90,71,1
2018,DePaul,Delaware St,81,57,1
2018,Samford,Alabama A&M,87,68,1
2018,Arkansas St,Abilene Christian,83,69,1
2018,Baylor,Texas A&M-CC,70,46,1
2018,Iowa St,WI-Milwaukee,56,74,1
2018,Oklahoma St,Charlotte,83,65,1
2018,Northern Iowa,Alcorn St,73,45,1
2018,Xavier,Rider,101,75,1
2018,Missouri,Wagner,99,55,1
2018,Wichita St,Coll of Charleston,81,63,1
2018,Oregon,Prairie View A&M,100,67,1
2018,Utah,Miss Valley St,91,51,1
2018,TCU,Tennessee Tech,100,63,1
2018,Northern Colorado,UC-Davis,59,74,1
2018,San Francisco,St Francis-PA,75,63,1
2018,Grand Canyon,Robert Morris,75,61,1
2018,Fresno St,Cal St-Northridge,89,73,1
2018,Oregon St,Wyoming,66,75,1
2018,USC,North Dakota St,75,65,1
2018,Nevada,Rhode Island,88,81,1
2018,Murray St,Middle Tenn St,67,72,1
2018,South Carolina,Western Michigan,78,60,1
2018,St Marys,New Mexico St,92,74,1
2018,TX-Rio Grande,Bethune-Cookman,92,74,1
2018,Syracuse,Iona,71,62,1
2018,Florida St,George Washington,87,67,1
2018,Gonzaga,Howard,106,69,1
2018,Tennessee,High Point,84,53,1
2018,Georgia,SC-Upstate,74,65,1
2018,Alabama,Lipscomb,86,64,1
2018,New Mexico,NE-Omaha,103,71,1
2018,Davidson,NC-Wilmington,108,81,1
2018,Northern Illinois,Green Bay,85,65,1
2018,St Johns,Central Conn St,80,55,1
2018,Villanova,Nicholls St,113,77,1
2018,Wake Forest,Liberty,66,79,1
2018,Boston College,Sacred Heart,73,53,1
2018,Michigan St,Duke,81,88,0
2018,Rutgers,Cleveland St,70,38,1
2018,North Carolina St,Bryant,95,72,1
2018,UConn,Stony Brook,72,64,1
2018,Mercer,Jackson St,86,58,1
2018,Duquesne,VMI,77,61,1
2018,Furman,Elon,76,67,1
2018,Miami-OH,Wright St,73,67,1
2018,Lehigh,Monmouth,72,80,1
2018,Fairfield,Loyola-MD,64,52,1
2018,Air Force,Canisius,93,79,1
2018,Longwood,Columbia,77,87,1
2018,Yale,South Carolina St,86,54,1
2018,NJIT,Lafayette,96,80,1
2018,Memphis,AR-Little Rock,70,62,1
2018,Lamar,Coastal Carolina,66,60,1
2018,Kansas St,Kansas City,72,51,1
2018,Texas,New Hampshire,78,60,1
2018,Texas Tech,Maine,83,44,1
2018,South Dakota St,Alabama St,94,63,1
2018,Bradley,Delaware,61,53,1
2018,Rice,Georgia St,54,75,1
2018,Marquette,Purdue,71,86,1
2018,Arizona St,San Diego St,90,68,1
2018,Colorado,Denver,89,62,1
2018,Idaho St,Utah Valley St,71,84,1
2018,Colorado St,Winthrop,80,76,1
2018,Kentucky,Kansas,61,65,0
2018,Stanford,Eastern Washington,61,67,1
2018,North Carolina,Bucknell,93,81,1
2018,Pittsburgh,UC-Santa Barbara,70,62,1
2018,Princeton,BYU,56,65,1
2018,Loyola Marymount,UC-Riverside,76,64,1
2018,UCF,Gardner-Webb,68,65,1
2018,Missouri St,Southern U,86,58,1
2018,Pennsylvania,Navy,66,45,1
2018,Buffalo,Jacksonville St,81,76,1
2018,Seton Hall,Indiana,84,68,1
2018,Penn St,Montana,70,57,1
2018,East Carolina,Radford,66,73,1
2018,Stetson,South Florida,72,75,1
2018,Georgetown,Mt St Marys,102,68,1
2018,North Carolina A&T,Citadel,92,73,1
2018,West Virginia,American U,98,64,1
2018,IPFW,Delaware St,85,71,1
2018,Manhattan,St Francis-NY,80,79,1
2018,Rider,Hartford,89,53,1
2018,William & Mary,Hampton,83,76,1
2018,MA-Lowell,Marist,76,73,1
2018,Minnesota,Niagara,107,81,1
2018,SMU,Northwestern St,81,35,1
2018,Texas A&M-CC,TX-Rio Grande,75,82,1
2018,Oklahoma,Ball St,108,69,1
2018,Western Illinois,Eastern Illinois,56,54,1
2018,SIU-Edwardsville,Valparaiso,69,94,1
2018,TN-Martin,NC-Central,74,57,1
2018,Maryland,Butler,79,65,1
2018,Northwestern,Creighton,88,92,1
2018,Washington St,Seattle,75,59,1
